strain	genbank	date	country	region	division	location	length	host_type	host	authors	date_submitted
ON022284	ON022284	2018-01-11	Brazil	Sudeste	São Paulo	Atibaia	10172	Non-human primate	Callithrix	Hill et al	2022-03-16
MK760660	MK760660	2018-01-11	Netherlands				10869	Human	Homo sapiens	Phan et al	2019-04-05
MK760661	MK760661	2018-01-11	Netherlands				10850	Human	Homo sapiens	Phan et al	2019-04-05
ON022742	ON022742	2018-01-12	Brazil	Sudeste	São Paulo	Guarulhos	10172	Human	Homo sapiens	Hill et al	2022-03-16
MK583147	MK583147	2018-01-12	Brazil	Sudeste	São Paulo	Mairiporã	10946	Human	Homo sapiens	Cunha et al	2019-02-28
MK760662	MK760662	2018-01-12	Netherlands				10884	Human	Homo sapiens	Phan et al	2019-04-05
MK760666	MK760666	2018-01-12	Netherlands				10924	Human	Homo sapiens	Phan et al	2019-04-05
ON022247	ON022247	2018-01-13	Brazil	Sudeste	Minas Gerais	Mariana	10169	Human	Homo sapiens	Hill et al	2022-03-16
ON022256	ON022256	2018-01-13	Brazil	Sudeste	Minas Gerais	Rio Acima	9823	Human	Homo sapiens	Hill et al	2022-03-16
ON022273	ON022273	2018-01-13	Brazil	Sudeste	Rio de Janeiro	Valença	10169	Human	Homo sapiens	Hill et al	2022-03-16
ON022274	ON022274	2018-01-13	Brazil	Sudeste	Rio de Janeiro	Valença	10169	Human	Homo sapiens	Hill et al	2022-03-16
MK583148	MK583148	2018-01-13	Brazil	Sudeste	São Paulo	Mairiporã	10975	Human	Homo sapiens	Cunha et al	2019-02-28
MK760663	MK760663	2018-01-13	Netherlands				10856	Human	Homo sapiens	Phan et al	2019-04-05
ON022260	ON022260	2018-01-14	Brazil	Sudeste	Minas Gerais	Nova Lima	10169	Human	Homo sapiens	Hill et al	2022-03-16
ON022275	ON022275	2018-01-14	Brazil	Sudeste	Rio de Janeiro	Valença	10169	Human	Homo sapiens	Hill et al	2022-03-16
ON022586	ON022586	2018-01-14	Brazil	Sudeste	São Paulo	Jacareí	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
MK760664	MK760664	2018-01-14	Netherlands				10835	Human	Homo sapiens	Phan et al	2019-04-05
ON022255	ON022255	2018-01-15	Brazil	Sudeste	Minas Gerais	Brumadinho	10169	Human	Homo sapiens	Hill et al	2022-03-16
ON022242	ON022242	2018-01-15	Brazil	Sudeste	Minas Gerais	Juiz de Fora	10169	Human	Homo sapiens	Hill et al	2022-03-16
ON022248	ON022248	2018-01-15	Brazil	Sudeste	Minas Gerais	Mariana	10169	Human	Homo sapiens	Hill et al	2022-03-16
ON022267	ON022267	2018-01-15	Brazil	Sudeste	Minas Gerais	Mariana	10169	Human	Homo sapiens	Hill et al	2022-03-16
ON022261	ON022261	2018-01-15	Brazil	Sudeste	Minas Gerais	Nova Lima	10169	Human	Homo sapiens	Hill et al	2022-03-16
ON022278	ON022278	2018-01-15	Brazil	Sudeste	Rio de Janeiro	Valença	10169	Human	Homo sapiens	Hill et al	2022-03-16
ON022276	ON022276	2018-01-15	Brazil	Sudeste	Rio de Janeiro	Valença	10169	Human	Homo sapiens	Hill et al	2022-03-16
ON022277	ON022277	2018-01-15	Brazil	Sudeste	Rio de Janeiro	Valença	10169	Human	Homo sapiens	Hill et al	2022-03-16
ON022657	ON022657	2018-01-15	Brazil	Sudeste	São Paulo	Cotia	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
MK583150	MK583150	2018-01-15	Brazil	Sudeste	São Paulo	Itaquaquecetuba	10991	Human	Homo sapiens	Cunha et al	2019-02-28
MK583151	MK583151	2018-01-15	Brazil	Sudeste	São Paulo	Mairiporã	10953	Human	Homo sapiens	Cunha et al	2019-02-28
ON022343	ON022343	2018-01-15	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Callithrix	Hill et al	2022-03-16
ON022249	ON022249	2018-01-16	Brazil	Sudeste	Minas Gerais	Mariana	10169	Human	Homo sapiens	Hill et al	2022-03-16
ON022250	ON022250	2018-01-16	Brazil	Sudeste	Minas Gerais	Mariana	10169	Human	Homo sapiens	Hill et al	2022-03-16
ON022268	ON022268	2018-01-16	Brazil	Sudeste	Rio de Janeiro	Rio de Janeiro	10169	Human	Homo sapiens	Hill et al	2022-03-16
MN643077	MN643077	2018-01-16	Brazil	Sudeste	Rio de Janeiro	Teresópolis	11007	Human	Homo sapiens	Abreu et al	2019-11-04
ON022271	ON022271	2018-01-16	Brazil	Sudeste	Rio de Janeiro	Teresópolis	10169	Human	Homo sapiens	Hill et al	2022-03-16
ON022597	ON022597	2018-01-16	Brazil	Sudeste	São Paulo	Itapecerica da Serra	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022743	ON022743	2018-01-16	Brazil	Sudeste	São Paulo	Mairiporã	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022329	ON022329	2018-01-16	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
MK583149	MK583149	2018-01-16	Brazil	Sudeste	São Paulo	São Paulo	10999	Human	Homo sapiens	Cunha et al	2019-02-28
ON022736	ON022736	2018-01-16	Brazil	Sudeste	São Paulo	São Paulo	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022253	ON022253	2018-01-17	Brazil	Sudeste	Minas Gerais	Brumadinho	10132	Human	Homo sapiens	Hill et al	2022-03-16
ON022239	ON022239	2018-01-17	Brazil	Sudeste	Minas Gerais	Juiz de Fora	10169	Human	Homo sapiens	Hill et al	2022-03-16
ON022244	ON022244	2018-01-17	Brazil	Sudeste	Minas Gerais	Ponte Nova	10169	Human	Homo sapiens	Hill et al	2022-03-16
ON022270	ON022270	2018-01-17	Brazil	Sudeste	Rio de Janeiro	Teresópolis	10169	Human	Homo sapiens	Hill et al	2022-03-16
ON022598	ON022598	2018-01-17	Brazil	Sudeste	São Paulo	Itapecerica da Serra	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
MK333807	MK333807	2018-01-18	Brazil	Sudeste	Minas Gerais	Belmiro Braga	11007	Mosquito	Haemagogus leucocelaenus	Pereira Ribeiro et al	2018-12-21
ON022451	ON022451	2018-01-18	Brazil	Sudeste	Rio de Janeiro	Angra dos Reis	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022507	ON022507	2018-01-18	Brazil	Sudeste	Rio de Janeiro	Rio das Flores	9884	Human	Homo sapiens	Hill et al	2022-03-16
MN506290	MN506290	2018-01-18	Brazil	Sudeste	Rio de Janeiro	Valença	11007	Mosquito	Hg. janthinomys	Abreu et al	2019-09-23
ON022297	ON022297	2018-01-18	Brazil	Sudeste	São Paulo	Nazaré Paulista	10172	Non-human primate	Sapajus	Hill et al	2022-03-16
MK333809	MK333809	2018-01-19	Brazil	Sudeste	Rio de Janeiro	Valença	11007	Mosquito	Haemagogus janthinomys	Pereira Ribeiro et al	2018-12-21
ON022729	ON022729	2018-01-19	Brazil	Sudeste	Rio de Janeiro	Volta Redonda	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022738	ON022738	2018-01-19	Brazil	Sudeste	São Paulo	Atibaia	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022737	ON022737	2018-01-19	Brazil	Sudeste	São Paulo	Mairiporã	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022330	ON022330	2018-01-19	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022331	ON022331	2018-01-19	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022332	ON022332	2018-01-19	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022326	ON022326	2018-01-19	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
MK760665	MK760665	2018-01-19	Netherlands				10786	Human	Homo sapiens	Phan et al	2019-04-05
ON022516	ON022516	2018-01-20	Brazil	Sudeste	Rio de Janeiro	Teresópolis	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022492	ON022492	2018-01-20	Brazil	Sudeste	Rio de Janeiro	Valença	10172	Human	Homo sapiens	Hill et al	2022-03-16
MK583153	MK583153	2018-01-20	Brazil	Sudeste	São Paulo	Mairiporã	10995	Human	Homo sapiens	Cunha et al	2019-02-28
ON022338	ON022338	2018-01-21	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022325	ON022325	2018-01-21	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
MK583154	MK583154	2018-01-21	Brazil	Sudeste	São Paulo	São Paulo	10993	Human	Homo sapiens	Cunha et al	2019-02-28
ON022445	ON022445	2018-01-22	Brazil	Sudeste	Rio de Janeiro	Valença	10172	Non-human primate	Callithrix	Hill et al	2022-03-16
MK882618	MK882618	2018-01-22	Brazil	Sudeste	Rio de Janeiro	Valença	10169	Human	Homo sapiens	Giovanetti et al	2019-05-03
MK583155	MK583155	2018-01-22	Brazil	Sudeste	São Paulo	Mairiporã	10992	Human	Homo sapiens	Cunha et al	2019-02-28
ON022324	ON022324	2018-01-22	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022588	ON022588	2018-01-22	Brazil	Sudeste	São Paulo	Tapiraí	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022282	ON022282	2018-01-23	Brazil	Sudeste	Rio de Janeiro	Rio de Janeiro	10172	Human	Homo sapiens	Hill et al	2022-03-16
MK583156	MK583156	2018-01-23	Brazil	Sudeste	São Paulo	Atibaia	10941	Human	Homo sapiens	Cunha et al	2019-02-28
MK583157	MK583157	2018-01-23	Brazil	Sudeste	São Paulo	Guarulhos	10949	Human	Homo sapiens	Cunha et al	2019-02-28
ON022744	ON022744	2018-01-23	Brazil	Sudeste	São Paulo	Guarulhos	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022739	ON022739	2018-01-23	Brazil	Sudeste	São Paulo	Guarulhos	10172	Human	Homo sapiens	Hill et al	2022-03-16
MK583158	MK583158	2018-01-23	Brazil	Sudeste	São Paulo	Mairiporã	10995	Human	Homo sapiens	Cunha et al	2019-02-28
ON022594	ON022594	2018-01-23	Brazil	Sudeste	São Paulo	Salto de Pirapora	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022471	ON022471	2018-01-24	Brazil	Sudeste	Rio de Janeiro	Cantagalo	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022450	ON022450	2018-01-24	Brazil	Sudeste	Rio de Janeiro	Duas Barras	10172	Non-human primate	Callithrix	Hill et al	2022-03-16
ON022479	ON022479	2018-01-24	Brazil	Sudeste	Rio de Janeiro	Sumidouro	10172	Human	Homo sapiens	Hill et al	2022-03-16
MN506287	MN506287	2018-01-24	Brazil	Sudeste	Rio de Janeiro	Valença	11007	Mosquito	Hg. janthinomys	Abreu et al	2019-09-23
MN506286	MN506286	2018-01-24	Brazil	Sudeste	Rio de Janeiro	Valença	11007	Mosquito	Hg. janthinomys	Abreu et al	2019-09-23
MN506288	MN506288	2018-01-24	Brazil	Sudeste	Rio de Janeiro	Valença	11007	Mosquito	Hg. janthinomys	Abreu et al	2019-09-23
MN506285	MN506285	2018-01-24	Brazil	Sudeste	Rio de Janeiro	Valença	11007	Mosquito	Hg. janthinomys	Abreu et al	2019-09-23
MN506284	MN506284	2018-01-24	Brazil	Sudeste	Rio de Janeiro	Valença	11007	Mosquito	Hg. janthinomys	Abreu et al	2019-09-23
ON022514	ON022514	2018-01-24	Brazil	Sudeste	Rio de Janeiro	Valença	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022506	ON022506	2018-01-24	Brazil	Sudeste	Rio de Janeiro	Valença	9884	Human	Homo sapiens	Hill et al	2022-03-16
MK583159	MK583159	2018-01-24	Brazil	Sudeste	São Paulo	Atibaia	10998	Human	Homo sapiens	Cunha et al	2019-02-28
MK583161	MK583161	2018-01-24	Brazil	Sudeste	São Paulo	Itaquaquecetuba	10945	Human	Homo sapiens	Cunha et al	2019-02-28
ON022745	ON022745	2018-01-24	Brazil	Sudeste	São Paulo	São Paulo	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022530	ON022530	2018-01-25	Brazil	Sudeste	Espírito Santo	Santa Leopoldina	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
MK882619	MK882619	2018-01-25	Brazil	Sudeste	Rio de Janeiro	Duas Barras	10169	Human	Homo sapiens	Giovanetti et al	2019-05-03
MN643078	MN643078	2018-01-25	Brazil	Sudeste	Rio de Janeiro	Teresópolis	11007	Human	Homo sapiens	Abreu et al	2019-11-04
ON022508	ON022508	2018-01-25	Brazil	Sudeste	Rio de Janeiro	Valença	9884	Human	Homo sapiens	Hill et al	2022-03-16
ON022498	ON022498	2018-01-25	Brazil	Sudeste	Rio de Janeiro	Valença	9884	Human	Homo sapiens	Hill et al	2022-03-16
ON022695	ON022695	2018-01-25	Brazil	Sudeste	São Paulo	Santa Isabel	10172	Non-human primate	Callithrix	Hill et al	2022-03-16
MN643079	MN643079	2018-01-26	Brazil	Sudeste	Rio de Janeiro	Teresópolis	11007	Human	Homo sapiens	Abreu et al	2019-11-04
ON022727	ON022727	2018-01-26	Brazil	Sudeste	Rio de Janeiro	Teresópolis	9884	Human	Homo sapiens	Hill et al	2022-03-16
MN506291	MN506291	2018-01-26	Brazil	Sudeste	Rio de Janeiro	Valença	11007	Mosquito	Hg. janthinomys	Abreu et al	2019-09-23
MN506289	MN506289	2018-01-26	Brazil	Sudeste	Rio de Janeiro	Valença	11007	Mosquito	Hg. janthinomys	Abreu et al	2019-09-23
ON022346	ON022346	2018-01-26	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
MK333806	MK333806	2018-01-27	Brazil	Sudeste	Minas Gerais	Juiz de Fora	11007	Mosquito	Haemagogus janthinomys	Pereira Ribeiro et al	2018-12-21
ON022587	ON022587	2018-01-28	Brazil	Sudeste	São Paulo	Igaratá	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
MK333808	MK333808	2018-01-29	Brazil	Sudeste	Minas Gerais	Belmiro Braga	11007	Mosquito	Haemagogus janthinomys	Pereira Ribeiro et al	2018-12-21
ON022392	ON022392	2018-01-29	Brazil	Sudeste	Minas Gerais	Juiz de Fora	10172	Non-human primate	Callithrix	Hill et al	2022-03-16
MK583160	MK583160	2018-01-29	Brazil	Sudeste	São Paulo	Cotia	10968	Human	Homo sapiens	Cunha et al	2019-02-28
ON022333	ON022333	2018-01-29	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022336	ON022336	2018-01-29	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022658	ON022658	2018-01-29	Brazil	Sudeste	São Paulo	Sarapuí	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
MH329655	MH329655	2018-01-29	Brazil				10169	Mosquito	Aedes albopictus	Chiang et al	2018-05-07
ON022740	ON022740	2018-01-30	Brazil	Sudeste	São Paulo	Mairiporã	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022342	ON022342	2018-01-30	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Callithrix	Hill et al	2022-03-16
ON022589	ON022589	2018-01-31	Brazil	Sudeste	São Paulo	São José dos Campos	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022334	ON022334	2018-01-31	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022335	ON022335	2018-01-31	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022327	ON022327	2018-01-31	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
MK583162	MK583162	2018-01-31	Brazil	Sudeste	São Paulo	São Paulo	10999	Human	Homo sapiens	Cunha et al	2019-02-28
ON022590	ON022590	2018-01-31	Brazil	Sudeste	São Paulo	Tapiraí	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022344	ON022344	2018-02-01	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022741	ON022741	2018-02-01	Brazil	Sudeste	São Paulo	São Paulo	10172	Human	Homo sapiens	Hill et al	2022-03-16
MH193175	MH193175	2018-02-01	Brazil	Sudeste	São Paulo	São Paulo	10169	Non-human primate	Alouatta sp.	Souza et al	2018-04-11
ON022659	ON022659	2018-02-02	Brazil	Sudeste	São Paulo	Embu Guaçu	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
MK583163	MK583163	2018-02-02	Brazil	Sudeste	São Paulo	São Paulo	10944	Human	Homo sapiens	Cunha et al	2019-02-28
MK583164	MK583164	2018-02-03	Brazil	Sudeste	São Paulo	Cotia	10999	Human	Homo sapiens	Cunha et al	2019-02-28
MN643090	MN643090	2018-02-04	Brazil	Sudeste	Rio de Janeiro	Ilha Grande	11007	Non-human primate	Alouatta guariba	Abreu et al	2019-11-04
MK583165	MK583165	2018-02-04	Brazil	Sudeste	São Paulo	Mairiporã	10986	Human	Homo sapiens	Cunha et al	2019-02-28
MK882621	MK882621	2018-02-05	Brazil	Sudeste	Rio de Janeiro	Angra dos Reis	10169	Human	Homo sapiens	Giovanetti et al	2019-05-03
ON022509	ON022509	2018-02-05	Brazil	Sudeste	Rio de Janeiro	Cantagalo	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022503	ON022503	2018-02-05	Brazil	Sudeste	Rio de Janeiro	Duas Barras	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022458	ON022458	2018-02-05	Brazil	Sudeste	Rio de Janeiro	Rio de Janeiro	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022440	ON022440	2018-02-05	Brazil	Sudeste	Rio de Janeiro	Rio de Janeiro	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022437	ON022437	2018-02-05	Brazil	Sudeste	Rio de Janeiro	Rio de Janeiro	10172	Non-human primate	Callithrix	Hill et al	2022-03-16
MK882620	MK882620	2018-02-05	Brazil	Sudeste	Rio de Janeiro	Rio de Janeiro	10169	Human	Homo sapiens	Giovanetti et al	2019-05-03
ON022517	ON022517	2018-02-05	Brazil	Sudeste	Rio de Janeiro	Volta Redonda	9884	Non-human primate	Callithrix	Hill et al	2022-03-16
ON022476	ON022476	2018-02-06	Brazil	Sudeste	Rio de Janeiro	Teresópolis	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022489	ON022489	2018-02-06	Brazil	Sudeste	Rio de Janeiro	Teresópolis	10172	Human	Homo sapiens	Hill et al	2022-03-16
MK583166	MK583166	2018-02-06	Brazil	Sudeste	São Paulo	São Paulo	10946	Human	Homo sapiens	Cunha et al	2019-02-28
MN643091	MN643091	2018-02-07	Brazil	Sudeste	Rio de Janeiro	Ilha Grande	11007	Non-human primate	Alouatta guariba	Abreu et al	2019-11-04
MN643092	MN643092	2018-02-07	Brazil	Sudeste	Rio de Janeiro	Ilha Grande	11007	Non-human primate	Alouatta guariba	Abreu et al	2019-11-04
MK333805	MK333805	2018-02-07	Brazil	Sudeste	Rio de Janeiro	Ilha Grande	10354	Mosquito	Sabethes chloropterus	Pereira Ribeiro et al	2018-12-21
ON022434	ON022434	2018-02-08	Brazil	Sudeste	Rio de Janeiro	Angra dos Reis	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022485	ON022485	2018-02-08	Brazil	Sudeste	Rio de Janeiro	Angra dos Reis	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022478	ON022478	2018-02-09	Brazil	Sudeste	Rio de Janeiro	Duas Barras	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022491	ON022491	2018-02-09	Brazil	Sudeste	Rio de Janeiro	Duas Barras	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022495	ON022495	2018-02-09	Brazil	Sul	Rio Grande do Sul	São Leopoldo	9884	Human	Homo sapiens	Hill et al	2022-03-16
ON022591	ON022591	2018-02-09	Brazil	Sudeste	São Paulo	São José dos Campos	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022602	ON022602	2018-02-09	Brazil	Sudeste	São Paulo	Sarapuí	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022337	ON022337	2018-02-10	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022533	ON022533	2018-02-11	Brazil	Sudeste	Rio de Janeiro	Angra dos Reis	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022488	ON022488	2018-02-11	Brazil	Sudeste	Rio de Janeiro	Angra dos Reis	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022513	ON022513	2018-02-11	Brazil	Sudeste	Rio de Janeiro	Duas Barras	9884	Human	Homo sapiens	Hill et al	2022-03-16
MN643085	MN643085	2018-02-11	Brazil	Sudeste	Rio de Janeiro	Ilha Grande	10689	Human	Homo sapiens	Abreu et al	2019-11-04
MK583167	MK583167	2018-02-11	Brazil	Sudeste	São Paulo	Guarulhos	10947	Human	Homo sapiens	Cunha et al	2019-02-28
MK583168	MK583168	2018-02-11	Brazil	Sudeste	São Paulo	São Paulo	10993	Human	Homo sapiens	Cunha et al	2019-02-28
ON022656	ON022656	2018-02-12	Brazil	Sudeste	São Paulo	Santa Isabel	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022526	ON022526	2018-02-13	Brazil	Sudeste	Rio de Janeiro	Angra dos Reis	10172	Human	Homo sapiens	Hill et al	2022-03-16
MN643087	MN643087	2018-02-13	Brazil	Sudeste	Rio de Janeiro	Ilha Grande	11007	Human	Homo sapiens	Abreu et al	2019-11-04
MN643086	MN643086	2018-02-14	Brazil	Sudeste	Rio de Janeiro	Angra dos Reis	11007	Human	Homo sapiens	Abreu et al	2019-11-04
ON022477	ON022477	2018-02-14	Brazil	Sudeste	Rio de Janeiro	Rio de Janeiro	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022470	ON022470	2018-02-15	Brazil	Sudeste	Rio de Janeiro	Rio de Janeiro	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022490	ON022490	2018-02-15	Brazil	Sudeste	Rio de Janeiro	Rio de Janeiro	9884	Human	Homo sapiens	Hill et al	2022-03-16
ON022340	ON022340	2018-02-15	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022473	ON022473	2018-02-16	Brazil	Sudeste	Rio de Janeiro	Bom Jardim	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022483	ON022483	2018-02-16	Brazil	Sudeste	Rio de Janeiro	Nova Friburgo	10172	Human	Homo sapiens	Hill et al	2022-03-16
MN643082	MN643082	2018-02-16	Brazil	Sudeste	Rio de Janeiro	Teresópolis	11007	Human	Homo sapiens	Abreu et al	2019-11-04
ON022481	ON022481	2018-02-16	Brazil	Sudeste	Rio de Janeiro	Teresópolis	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022494	ON022494	2018-02-17	Brazil	Sudeste	Rio de Janeiro	Nova Friburgo	9884	Human	Homo sapiens	Hill et al	2022-03-16
MN643080	MN643080	2018-02-17	Brazil	Sudeste	Rio de Janeiro	Teresópolis	11007	Human	Homo sapiens	Abreu et al	2019-11-04
ON022474	ON022474	2018-02-18	Brazil	Sudeste	Minas Gerais	Juiz de Fora	10172	Human	Homo sapiens	Hill et al	2022-03-16
MK583170	MK583170	2018-02-18	Brazil	Sudeste	São Paulo	Guarulhos	11011	Human	Homo sapiens	Cunha et al	2019-02-28
MK583169	MK583169	2018-02-18	Brazil	Sudeste	São Paulo	Guarulhos	10944	Human	Homo sapiens	Cunha et al	2019-02-28
MK583171	MK583171	2018-02-18	Brazil	Sudeste	São Paulo	Guarulhos	10973	Human	Homo sapiens	Cunha et al	2019-02-28
ON022454	ON022454	2018-02-19	Brazil	Sudeste	Rio de Janeiro	Angra dos Reis	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022452	ON022452	2018-02-19	Brazil	Sudeste	Rio de Janeiro	Angra dos Reis	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022487	ON022487	2018-02-19	Brazil	Sudeste	Rio de Janeiro	Angra dos Reis	10172	Human	Homo sapiens	Hill et al	2022-03-16
MN643081	MN643081	2018-02-19	Brazil	Sudeste	Rio de Janeiro	Teresópolis	11007	Human	Homo sapiens	Abreu et al	2019-11-04
ON022480	ON022480	2018-02-19	Brazil	Sudeste	Rio de Janeiro	Teresópolis	9884	Human	Homo sapiens	Hill et al	2022-03-16
ON022502	ON022502	2018-02-19	Brazil	Sudeste	Rio de Janeiro	Trajano de Moraes	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022500	ON022500	2018-02-19	Brazil	Sudeste	Rio de Janeiro	Valença	10172	Human	Homo sapiens	Hill et al	2022-03-16
MK583172	MK583172	2018-02-19	Brazil	Sudeste	São Paulo	Guarulhos	10996	Human	Homo sapiens	Cunha et al	2019-02-28
ON022592	ON022592	2018-02-19	Brazil	Sudeste	São Paulo	Pilar do Sul	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022339	ON022339	2018-02-19	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022512	ON022512	2018-02-20	Brazil	Sudeste	Rio de Janeiro	Angra dos Reis	9884	Human	Homo sapiens	Hill et al	2022-03-16
ON022484	ON022484	2018-02-20	Brazil	Sudeste	Rio de Janeiro	Angra dos Reis	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022482	ON022482	2018-02-20	Brazil	Sudeste	Rio de Janeiro	Bom Jardim	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022501	ON022501	2018-02-20	Brazil	Sudeste	Rio de Janeiro	Cachoeiras de Macacu	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022726	ON022726	2018-02-20	Brazil	Sudeste	Rio de Janeiro	Cantagalo	9884	Human	Homo sapiens	Hill et al	2022-03-16
ON022599	ON022599	2018-02-20	Brazil	Sudeste	São Paulo	Tambaú	10172	Non-human primate	Cebus	Hill et al	2022-03-16
ON022493	ON022493	2018-02-21	Brazil	Sudeste	Rio de Janeiro	Cachoeiras de Macacu	9884	Human	Homo sapiens	Hill et al	2022-03-16
ON022499	ON022499	2018-02-21	Brazil	Sudeste	Rio de Janeiro	Duas Barras	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022505	ON022505	2018-02-21	Brazil	Sudeste	Rio de Janeiro	Duas Barras	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022497	ON022497	2018-02-21	Brazil	Sudeste	Rio de Janeiro	Italva	9884	Human	Homo sapiens	Hill et al	2022-03-16
ON022475	ON022475	2018-02-22	Brazil	Sudeste	Rio de Janeiro	Barra Mansa	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022515	ON022515	2018-02-22	Brazil	Sudeste	Rio de Janeiro	Niterói	9884	Human	Homo sapiens	Hill et al	2022-03-16
ON022486	ON022486	2018-02-22	Brazil	Sudeste	Rio de Janeiro	Niterói	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022511	ON022511	2018-02-22	Brazil	Sudeste	Rio de Janeiro	Nova Friburgo	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022328	ON022328	2018-02-22	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
MK583173	MK583173	2018-02-23	Brazil	Sudeste	São Paulo	Guarulhos	10991	Human	Homo sapiens	Cunha et al	2019-02-28
